iter	RMSE
0	12.11603955
1	11.88197707
2	11.65880425
3	11.44045016
4	11.22795103
5	11.02421078
6	10.81889765
7	10.63757327
8	10.44821318
9	10.27086538
10	10.10502326
11	9.938143657
12	9.780575212
13	9.627639242
14	9.482748588
15	9.321758883
16	9.187051751
17	9.053335289
18	8.909674238
19	8.781773596
20	8.654418795
21	8.540546704
22	8.429018357
23	8.30683535
24	8.199081221
25	8.079604834
26	7.971662427
27	7.871291969
28	7.765008672
29	7.682503714
30	7.584645031
31	7.493004959
32	7.402697233
33	7.314997883
34	7.238400739
35	7.162835601
36	7.083031701
37	7.012484631
38	6.944444544
39	6.873766662
40	6.8178441	7.156408249
42	7.09449779
43	7.028303249
44	6.970039756
45	6.922826154
46	6.871140473
47	6.81817858
48	6.770931027
49	6.711740434
50	6.668375413
51	6.620036864
52	6.573672182
53	6.523378525
54	6.475642569
55	6.437651856
56	6.390789155
57	6.350849904
58	6.315249927
59	6.284486138
60	6.248975987
61	6.211234073
62	6.178952994
63	6.149126066
64	6.117797555
65	6.088184375
66	6.051959646
67	6.03049857
68	6.007856615
69	5.983224102
70	5.96195385
71	5.935018875
72	5.911009901
73	5.881334569
74	5.862281294
75	5.837212156
76	5.814697424
77	5.792433886
78	5.775942867
79	5.757073803
80	5.731803347
81	5.709404283
82	5.686746184
83	5.659614636
84	5.632822207
85	5.608992526
86	5.593750896
87	5.575635218
88	5.560164338
8989	5.328072599090	5.308718149191	5.293481149292	5.277357529393	5.26910194	594	5.25398595	5.457936674
96	5.443451143
97	597	5.20519898	598	5.184806229
99	5.177312100	100	5.159410101	5.370956325
102	5.356447465
103	5.341841622
104	5.325027083
105	5.317067861
106	106	5.082052107	107	5.0682731108108	5.051369605
109	5.040476044
110	5.021435669
111	5.01295297
112	5.004189266
113	4.992012961
114	4.983001743
115	4.97033388
116	4.957832266
117	4.948954849
118	4.937460578
119	4.925974618
120	4.910267894
121	4.901061181
122	4.888288632
123	4.88045124	5124	4.869830048
125	4.85902126	5126	4.849127	5.051302893
128	5.043943689
129	5.038069494
1130	4.97672653
131	4.967232519
132	4.960806141
133	4.951572742
134	4.982468388
135	4.936633539
136	4.9256927111137	4.9172608891138	4.9065478213139	4.892479622
140	4.883778964
141	4.876002248
142	4.867377894
143	4.860873111
144	4.854312386
145	4.8472312146	4.885173766
147	4.873698953
148	4.868903305
149	4.860080052
150	4.847521239
151	4.838814727
152	4.832147015
153	4.826163088
154	4.814131052
155	4.806200784
156	4.799370397
157	4.789178264
158	4.784906333
159	4.777954125
160	4.765401469
161	4.758300573
162	4.749838828
163	4.744393502
164	4.733235273
165	4.726096247
166	4.717100559
167	4.709660643
168	4.702019975
169	4.697104916
170	4.690876466
171	4.681496267
172	4.673085243
173	4.667911804
174	4.660208901175	4.536788252
176	4.528664151
177	4.525276936
178	4.51885598
179	4.512279715
180	4.5051023
181	4.501457907
182	4.495919533
183	4.489792001
184	4.484190488
185	4.474702727
186	4.467772849
187	4.464140712
188	4.461511921
189	4.458050404
190	4.454979708
191	4.452690028
192	4.446477904
193	4.44071332
194	4.434899629
195	4.430427189
196	4.428181808
197	4.424916068
198	4.421237124
199	4.417458381
200	4.415237678
