iter	Passed	Remaining
0	144	144194
1	149	74507
2	151	50234
3	154	38348
4	161	32081
5	169	28068
6	175	24850
7	183	22752
8	188	20746
9	193	19174
10	202	18173
11	211	17428
12	221	16843
13	227	16002
14	232	15252
15	233	14390
16	239	13832
17	241	13163
18	312	16144
19	314	15419
20	319	14916
21	324	14410
22	329	13982
23	330	13453
24	336	13142
25	338	12687
26	341	12309
27	349	12128
28	354	11871
29	366	11842
30	370	11594
31	376	11374
32	381	11193
33	387	11014
34	393	10858
35	399	10707
36	407	10616
37	410	10380
38	416	10265
39	421	10115
40	423	9900
441	452	10331
42	462	10282
43	471	10247
44	479	10171
45	482	10007
46	487	9892
47	494	9810
48	498	9672
49	502	9540
50	511	9518
51	516	9414
52	520	9304
53	524	9195
54	527	9067
55	532	8968
56	538	8907
57	547	8885
58	556	8875
59	562	8819
60	570	8788
61	576	8723
62	582	8659
63	588	8602
64	590	8495
65	598	8467
66	602	8389
67	604	8289
68	607	8203
69	614	8167
70	617	8075
71	622	8026
72	673	618	773	674	623	774	639	7886
75	676	635	776	677	641	777	678	651	778	679	655	779	670	7711
80	672	7635
81	677	7587
82	683	7546
83	684	679	784	685	685	785	699	7429
86	787	693	787	788	701	788	789	706	7139
90	711	7102
91	716	7073
92	721	7033
93	724	6979
94	728	6936
95	733	695	796	738	696	797	744	6851
98	749	6824
99	752	6769
100	755	6723
101	759	101	7102	763	102	776	6763
103	7104	771	104	7105	776	105	7106	782	6533
107	787	65108108	794	6494
109	800	6478
110	804	6446
111	810	6427
112	815	6404
113	831	6460
114	834	6420
115	840	6401
116	845	6381
117	852	6373
118	859	6365
119	861	6319
120	865	6290
121	870	6261
122	877	6254
123	882	62124124	888	6221
125	906	62126126	908	62127	935	637127	932	6350
12129	967	64712130	980	6507
131	991	6522
132	999	6513
133	1004	6493
134	1008	6134	135	1015	6448
136	1020	6430
137	1032	6449
138	1055	6539
139	1073	6595
140	1081	6587
141	1085	6559
142	1109	6650
143	1111	6607
144	1113	6566
145	1115	6525
146	1117	6146	1149	6668
147	1163	6697
148	1174	6706
149	1180	6692
150	1199	6742
151	1205	6726
152	1209	6693
153	1214	6671
154	1219	6649
155	1225	6629
156	1229	6599
157	1233	6573
158	1239	6554
159	1248	6554
160	1253	6529
161	1256	6501
162	1261	6479
163	1272	6488
164	1278	6470
165	1281	6437
166	1294	6455
167	1347	6674
168	1350	6642
169	1353	6610
170	1356	6577
171	1359	6546
172	13175	1446	6771
176	1506	7002
177	1531	7070
178	1544	7082
179	1551	7068
180	1555	7040
181	1559	7008
182	1563	6981
183	1571	6967
184	1578	6951
185	1586	6942
186	1590	6914
187	1595	6890
188	1597	6852
189	1599	6818
190	1603	6790
191	1610	6777
192	1617	6763
193	1630	6773
194	1635	6751
195	1639	6727
196	1645	6707
197	1649	6679
198	1650	6644
199	1657	6631
200	1662	6609
201	1668	6590
202	1678	6589
203	1697	6623
204	1706	6619
205	1722	6638
206	1740	6668
207	1748	6656
208	1760	6663
209	1770	6659
210	1784	6672
211	1792	6661
212	1800	6654
213	1807	6637
214	1815	6628
215	1822	6616
216	1830	6603
217	1837	6593
218	1841	6568
219	1849	6557
220	1853	6534
221	1857	6510
222	1868	6508
223	1871	6482
224	1874	6458
225	1879	6436
226	1883	6414
227	1887	6391
228	1890	6365
229	1895	6344
230	1902	6331
231	1907	6314
232	1911	6292
233	1916	6274
234	1920	6251
235	1922	6224
236	1926	6203
237	1930	6179
238	1933	6156
239	1936	6132
240	1939	6109
241	1945	6095
242	1949	6074
243	1952	6049
244	1955	6026
245	1958	6001
246	1962	5982
247	1968	5967
248	1972	5949
249	1976	5928
250	1979	5907
251	1983	5886
252	1986	5865
253	1991	5847
254	1994	5828
255	1996	5802
256	2001	5786
257	2003	5761
258	2008	5745
259	2015	5735
260	2017	5713
261	2020	5690
262	2026	5679
263	2029	5657
264	2034	5643
265	2037	5621
266	2040	5600
267	2043	5581
268	2047	5564
269	2050	5543
270	2051	5519
271	2057	5506
272	2060	5488
273	2063	5466
274	2066	5447
275	2068	5425
276	2074	5415
277	2079	5399
278	2082	5382
279	2085	5363
280	2089	5347
281	2095	5335
282	2098	5316
283	2102	5301
284	2107	5288
285	2113	5275
286	2115	5256
287	2122	5246
288	2125	5229
289	2131	5217
290	2136	5206
291	2138	5185
292	2141	5168
293	2148	5159
294	2153	5147
295	2156	5129
296	2160	5114
297	2163	5096
298	2168	5083
299	2172	5068
300	2174	5048
301	2176	5031
302	2182	5019
303	2185	5002
304	2188	4987
305	2193	4975
306	2197	4959
307	2200	4944
308	2205	4932
309	2210	4919
310	2216	4910
311	2218	4892
312	2224	4882
313	2231	4874
314	2236	4864
315	2241	4852
316	2246	4840
317	2248	4821
318	2251	4806
319	2254	4790
320	2260	4780
321	2262	4763
322	2268	4754
323	2272	4741
324	2277	4729
325	2282	4718
326	2286	4705
327	2292	4697
328	2296	4683
329	2299	4669
330	2302	4653
331	2307	4643
332	2312	4631
333	2320	4626
334	2324	4614
335	2330	4605
336	2338	4600
337	2341	4586
338	2344	4571
339	2347	4555
340	2352	4546
341	2355	4532
342	2359	4520
343	2363	4506
344	2366	4493
345	2369	4478
346	2373	4466
347	2376	4451
348	2382	4444
349	2387	4433
350	2390	4419
351	2394	4407
352	2399	4397
353	2406	4391
354	2409	4378
355	2413	4366
356	2420	4359
357	2423	4346
358	2429	4338
359	2434	4328
360	2437	4315
361	2440	4300
362	2443	4287
363	2447	4275
364	2453	4268
365	2455	4252
366	2459	4241
367	2464	4231
368	2468	4222
369	2473	4211
370	2479	4203
371	2483	4192
372	2489	4184
373	2492	4171
374	2495	4158
375	2498	4145
376	2501	4133
377	2505	4123
378	2510	4112
379	2512	4099
380	2516	4088
381	2519	4076
382	2524	4067
383	2528	4056
384	2531	4044
385	2535	4033
386	2538	4020
387	2543	4012
388	2546	3999
389	2549	3987
390	2553	3976
391	2556	3965
392	2561	3956
393	2565	3946
394	2571	3938
395	2573	3925
396	2578	3916
397	2581	3904
398	2585	3894
399	2588	3882
400	2592	3872
401	2596	3861
402	2599	3851
403	2602	3839
404	2606	3829
405	2609	3817
406	2613	3807
407	2615	3795
408	2617	3782
409	2621	3772
410	2625	3763
411	2629	3752
412	2632	3740
413	2634	3729
414	2638	3719
415	2643	3710
416	2646	3699
417	2649	3689
418	2653	3678
419	2657	3670
420	2662	3661
421	2668	3654
422	2671	3644
423	2676	3636
424	2679	3625
425	2683	3615
426	2686	3605
427	2689	3594
428	2692	3583
429	2696	3573
430	2698	3563
431	2701	3552
432	2705	3542
433	2708	3532
434	2711	3521
435	2713	3510
436	2716434	26437	2721	3491
438	2723	3480
439	2727	3471
440	2730	3461
441	2735	3453
442	2738440	27443	2740441	27444	2743442	27445	2747443	27446	2750444	27447	2753445	27448	2757	3383
449	2759	3373
450	2763448	27451	2765449	27452	2769450	27453	2774451	27454	2779	3329
455	2782453	27456	2785454	27457	2788455	2763	3296
456	2767	3288
457	2772	3280
458	27461	2804459	2778	3261
460	2786	3257
461	2790	3249
462	2794	3241
463	2797	3231
464	2799	3221
465	2802	3211
466	2805	3202
467	2810	3194
468	28471	2841469	28472	2843470	28473	2846471	2822	3157
472	2825	3148
473	28476	2858474	28477	2862475	2837	3124
476	2842	3116
477	2845	3107
478	2848	3098
479	2853	3091
480	2856	3082
481	2860	3074
482	2865	3066
